番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2)
0,-0.65985,-0.006598,0,-0.006598,-43.611099
1,-0.993644,-0.003338,-0.009936,0.006598,-43.61113
2,-1.36483,-0.01031,-0.004318,-0.005993,-44.447616
3,-0.287074,0.014038,-0.001755,0.015793,-36.030584
4,-0.826066,-0.06515,0.004589,-0.069739,-23.130471
5,-0.738507,-0.535958,-0.049266,-0.486691,-6.254929
6,0.819286,-0.555035,-0.297274,-0.257761,-11.775668
7,2.654326,-0.605334,-0.200834,-0.4045,-7.861632
8,2.795399,0.256784,-0.199203,0.455986,-6.820961
9,3.064422,-0.59993,0.791042,-1.390971,2.866364
10,1.629007,-0.108918,0.192489,-0.301408,-10.416916
11,1.839269,1.005374,0.571303,0.434071,-7.248781
12,2.690733,1.805566,1.442607,0.362959,-8.802844
13,2.207926,1.203972,1.876232,-0.67226,-3.44926
14,1.098499,1.343039,1.264424,0.078614,-22.089958
15,0.977039,0.126422,1.396412,-1.269991,2.07601
16,0.426806,1.068838,0.511581,0.557257,-5.078889
17,0.667109,1.355972,1.01127,0.344702,-9.251116
18,0.092253,0.7475,1.083941,-0.336441,-9.461818
19,-1.643742,0.016009,0.698805,-0.682796,-3.314179
20,-0.108995,0.432595,0.039526,0.393069,-8.110626
21,-0.032837,-0.058965,0.425635,-0.4846,-6.29233
22,1.081624,0.467327,-0.392046,0.859373,-1.316365
23,-0.302692,-0.477565,0.118012,-0.595577,-4.501235
24,0.239112,-1.045054,-0.421951,-0.623103,-4.1088
25,0.665669,0.449126,-0.320956,0.770082,-2.269264
26,2.595363,0.091916,0.352112,-0.260196,-11.69398
27,1.775369,0.679678,-0.081556,0.761234,-2.369641
28,1.060855,-0.695769,0.28656,-0.982329,-0.154861
29,0.006274,0.307348,0.093248,0.2141,-13.387682
30,1.041608,0.526512,0.822925,-0.296413,-10.562065
31,2.344608,1.763405,0.685218,1.078187,0.653885
32,3.066199,0.244384,0.453236,-0.208852,-13.603244
33,2.556414,0.175332,-0.096715,0.272047,-11.307118
34,1.350894,-0.390177,0.357644,-0.747821,-2.524048
35,2.703657,1.045737,0.734272,0.311465,-10.131827
36,3.393992,1.371112,1.113762,0.25735,-11.78952
37,2.556936,1.519446,0.757591,0.761855,-2.362551
38,2.450108,0.658129,0.764643,-0.106514,-19.451878
39,1.579936,0.283021,1.186998,-0.903977,-0.876854
40,3.251065,1.674572,1.090186,0.584385,-4.666015
41,3.176786,1.567411,1.558163,0.009248,-40.679491
42,2.373356,0.686777,0.637066,0.049711,-26.070957
43,1.921304,0.933468,0.423894,0.509574,-5.855849
44,1.174465,0.430376,1.531104,-1.100728,0.833597
45,2.386121,2.044358,1.358236,0.686122,-3.27197
