番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
0,-0.196284,-0.001963,0,-0.001963,-54.142316,,,492.182
1,0.335696,0.00532,0.003357,0.001963,-54.14193,,,-849.607
2,-0.603808,-0.011358,-0.009524,-0.001834,-54.734242,,,40.84
3,-0.855926,0.004761,-0.011633,0.016394,-35.706218,,,-691.957
4,-1.102529,-0.034846,0.000237,-0.035084,-29.09789,,,-1450.013
5,2.116472,-0.068122,0.037447,-0.10557,-19.529231,,,588.916
6,1.370775,0.251756,-0.007424,0.25918,-11.727954,,,9.708
7,1.46843,-0.612085,0.172753,-0.784837,-2.104406,,,-1350.592
8,-0.009323,-0.476001,-0.194849,-0.281152,-11.021176,,,-1350.84
9,-0.391068,-0.308487,-0.178599,-0.129888,-17.728649,,,-259.387
10,-0.481609,2.035522,0.28411,1.751412,4.867766,,,1037.643
11,1.474869,0.186988,0.668327,-0.481339,-6.350973,,,625.063
12,-2.325153,0.663402,0.383529,0.279873,-11.060771,,,255.616
13,0.716039,-0.687428,-1.071638,0.38421,-8.308621,,,968.611
14,1.710312,-0.149654,0.06714,-0.216793,-13.279077,,,-145.028
15,-0.010245,-0.164888,-0.746471,0.581583,-4.70777,,,550.513
16,-1.012298,1.144875,0.281232,0.863643,-1.273316,,,-834.225
17,-0.303483,-2.33666,-0.68679,-1.649871,4.348998,,,809.908
18,0.467035,1.844002,0.900411,0.943592,-0.504316,,,-1553.523
19,0.619025,0.539404,0.440611,0.098792,-20.10553,,,36.87
20,0.776462,-0.394528,-0.723634,0.329106,-9.65328,,,29.01
21,1.440258,-1.000001,-1.388465,0.388464,-8.21299,,,-1007.496
22,-0.766862,0.45545,0.580591,-0.125141,-18.052036,,,-743.119
23,1.565065,0.274223,-0.313723,0.587946,-4.613251,,,-1514.355
24,0.451403,0.549395,0.705381,-0.155986,-16.138275,,,1617.889
25,-1.060462,0.178695,0.004685,0.17401,-15.188526,,,447.77
26,-0.832506,0.843674,0.469809,0.373865,-8.545697,,,989.286
27,1.314515,-1.176984,-0.750751,-0.426233,-7.407068,,,371.558
28,-0.796596,1.730703,1.819121,-0.088418,-21.069195,,,626.739
29,-0.325791,-0.652798,-0.469747,-0.183051,-14.748543,,,-208.729
30,-0.363573,-0.693394,-0.818168,0.124774,-18.077526,,,1752.772
31,0.346367,-0.381129,-0.166322,-0.214808,-13.359002,,,726.349
32,-0.067203,1.55689,1.229686,0.327204,-9.703619,,,263.995
33,0.859302,-1.516364,-1.31887,-0.197494,-14.088907,,,1326.865
34,0.884766,0.488286,0.093075,0.395211,-8.063418,,,171.397
35,1.966748,-0.60462,-0.831158,0.226537,-12.8972,,,1098.402
36,-0.340013,0.787691,0.782797,0.004894,-46.207223,,,315.357
37,0.623787,-0.56048,-0.533073,-0.027407,-31.242744,,,-81.482
38,-0.061646,1.077815,1.211567,-0.133752,-17.473985,,,-2344.409
39,0.386449,0.129272,0.033328,0.095945,-20.359585,,,-739.203
